Category,Name,Description,Price,Note,,,,,,
,ปลากระพงนึ่งซีอิ้ว,ถ้วย,180,,,,,,,
,ปลากระพงนึ่งซีอิ้ว,หม้อไฟ,320,,,,,,,
,"แกงป่า หมู,ไก่",ถ้วย,160,,,,,,,
,"แกงป่า หมู,ไก่",หม้อไฟ,220,,,,,,,
,"แกงป่า เนื้อ,กุ้ง",ถ้วย,180,,,,,,,
,"แกงป่า เนื้อ,กุ้ง",หม้อไฟ,250,,,,,,,
,ต้มยำรวมมิตรทะเล น้ำข้น I น้ำใส,ถ้วย,190,,,,,,,
,ต้มยำรวมมิตรทะเล น้ำข้น I น้ำใส,หม้อไฟ,250,,,,,,,
,ต้มยำโป๊ะแตก น้ำข้น I น้ำใส,ถ้วย,190,,,,,,,
,ต้มยำโป๊ะแตก น้ำข้น I น้ำใส,หม้อไฟ,250,,,,,,,
,ต้มยำพุงปลาซ่อน,ถ้วย,220,,,,,,,
,ต้มยำพุงปลาซ่อน,หม้อไฟ,300,,,,,,,
,หัวปลากระพงต้มเผือก,ถ้วย,160,,,,,,,
,หัวปลากระพงต้มเผือก,หม้อไฟ,220,,,,,,,
,ต้มแซ่บกระดูกหมู,ถ้วย,160,,,,,,,
,ต้มแซ่บกระดูกหมู,หม้อไฟ,220,,,,,,,
,ต้มแซ่บเนื้อตุ๋น,ถ้วย,160,,,,,,,
,ต้มแซ่บเนื้อตุ๋น,หม้อไฟ,250,,,,,,,
,แป๊ะซะปลาซ่อน,หม้อไฟ,320,,,,,,,
,แป๊ะซะกระพง,หม้อไฟ,320,,,,,,,
,ต้มจืดเต้าหู้สาหร่ายหมูสับ,ถ้วย,150,,,,,,,
,ต้มจืดเต้าหู้สาหร่ายหมูสับ,หม้อไฟ,220,,,,,,,
,ซุปเปอร์ขาไก่,ถ้วย,150,,,,,,,
,ซุปเปอร์ขาไก่,หม้อไฟ,220,,,,,,,
,ต้มข่าไก่,ถ้วย,150,,,,,,,
,ต้มข่าไก่,หม้อไฟ,220,,,,,,,
,ปลาทับทิมนึ่งแจ่วทรงเครื่อง,,310,,,,,,,
,ปลานิลนึ่งแจ่วทรงเครื่อง,,270,,,,,,,
,ปลากระพงนึ่งแจ่วทรงเครื่อง,,330,,,,,,,
,ปลาคังลวกจิ้ม,,170,,,,,,,
,ปลากระพงลวกจิ้ม,,170,,,,,,,
,เนื้อตุ๋นลวกจิ้ม,,170,,,,,,,
เมนู อาหารจานเดียว,คั่วไก่,,70,,,,,,,
,"ราดหน้าจักรพรรดิ เส้นหมี่, เส้นใหญ่","หมู,ไก่",60,,,,,,,
,"ราดหน้าจักรพรรดิ เส้นหมี่, เส้นใหญ่",เนื้อ,70,,,,,,,
,"ราดหน้าจักรพรรดิ เส้นหมี่, เส้นใหญ่","หมึก,กุ้ง,ทะเล",85,,,,,,,
,"ผัดซีอิ๊ว เส้นหมี่, เส้นใหญ่","หมู,ไก่",60,,,,,,,
,"ผัดซีอิ๊ว เส้นหมี่, เส้นใหญ่",เนื้อ,70,,,,,,,
,"ผัดซีอิ๊ว เส้นหมี่, เส้นใหญ่","หมึก,กุ้ง,ทะเล",85,,,,,,,
,สุกี้,"หมู,ไก่",70,,,,,,,
,สุกี้,"เนื้อ,เนื้อตุ๋น",80,,,,,,,
,สุกี้,"หมึก,ทะเล",95,,,,,,,
,ผัดแขนงราดข้าว,หมู ไก่,60,,,,,,,
,ผัดแขนงราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดแขนงราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดผงกระหรี่ราดข้าว,หมู ไก่,70,,,,,,,
,ผัดผงกระหรี่ราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",80,,,,,,,
,ผัดผงกระหรี่ราดข้าว,"หมึก,กุ้ง,ทะเล",95,,,,,,,
,ผัดพริกแกงราดข้าว,หมู ไก่,60,,,,,,,
,ผัดพริกแกงราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดพริกแกงราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดฉ่าราดข้าว,หมู ไก่,60,,,,,,,
,ผัดฉ่าราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดฉ่าราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดเผ็ดราดข้าว,หมู ไก่,60,,,,,,,
,ผัดเผ็ดราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดเผ็ดราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดพริกเผาราดข้าว,หมู ไก่,60,,,,,,,
,ผัดพริกเผาราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดพริกเผาราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดเขียวหวานราดข้าว,หมู ไก่,60,,,,,,,
,ผัดเขียวหวานราดข้าว,"หมูกรอบ,เนื้อ เนื้อตุ๋น",70,,,,,,,
,ผัดเขียวหวานราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมู,ไก่",60,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดพริกเผาราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดพริกเผาราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,ผัดพริกเผาราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดเขียวหวานราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดเขียวหวานราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,ผัดเขียวหวานราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมู,ไก่",60,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,คั่วพริกเกลือราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดกะหล่ำปลีน้ำปลาราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดกะหล่ำปลีน้ำปลาราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,ผัดกะหล่ำปลีน้ำปลาราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดผักรวมราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดผักรวมราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,ผัดผักรวมราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ผัดกะเพราหน่อไม้ราดข้าว,"หมู,ไก่,เครื่องในไก่",60,,,,,,,
,ผัดกะเพราหน่อไม้ราดข้าว,"เนื้อ,เนื้อตุ๋น",70,,,,,,,
,ผัดกะเพราหน่อไม้ราดข้าว,"หมึก,ทะเล",85,,,,,,,
,ผัดพริกราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดพริกราดข้าว,"หมูกรอบ,เนื้อ",70,,,,,,,
,ผัดพริกราดข้าว,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ข้าวผัดรถไฟอร่อย,"หมู,ไก่",60,,,,,,,
,ข้าวผัดรถไฟอร่อย,เนื้อ,70,,,,,,,
,ข้าวผัดรถไฟอร่อย,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ข้าวผัด,"หมู,ไก่",60,,,,,,,
,ข้าวผัด,"หมูกรอบ,เนื้อ,เนื้อตุ้ม",70,,,,,,,
,ข้าวผัด,"หมึก,กุ้ง,ทะเล",85,,,,,,,
,ข้าวผัด,ปู,120,,,,,,,
,ผัดกะเพราราดข้าว,"หมู,ไก่",60,,,,,,,
,ผัดกะเพราราดข้าว,"หมูกรอบ, เนื้อ,เนื้อตุ๋น,เป็ดสับ",70,,,,,,,
,ผัดกะเพราราดข้าว,"หมึก,กุ้ง,ทะเล I ไข่เยี่ยวม้า",85,,,,,,,
,ข้าวไข่เจียว,,50,,,,,,,
,ข้าวไข่เจียว,"หมูสับ,ไก่สับ",60,,,,,,,
,ข้าวไข่เจียว,กุ้ง,85,,,,,,,
,ข้าวไข่เจียว,ปู,120,,,,,,,
,ข้าวไข่ข้นลาวา,หมูสับ,60,,,,,,,
,ข้าวไข่ข้นลาวา,กุ้ง,85,,,,,,,
,ข้าวไข่ข้นลาวา,ปู,120,,,,,,,
เมนูผัด,ผัดฉ่า,"หมู,ไก่",160,,,,,,,
,ผัดฉ่า,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดฉ่า,"กุ้ง,หมึก,ทะล,ปลาคัง,ปลากะพง",190,,,,,,,
,ผัดกะเพรา,"หมู ไก่,ไก่บ้าน",160,,,,,,,
,ผัดกะเพรา,"หมูกรอบ,เนื้อ,เป็ดสับ",170,,,,,,,
,ผัดกะเพรา,ไข่เยี่ยวม้า กุ้ง หมึก ทะเล,190,,,,,,,
,ผัดพริก,"หมู,ไก่",160,,,,,,,
,ผัดพริก,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดพริก,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดพริก,กุ้งแม่น้ำ,250,,,,,,,
,ผัดเม็ดมะม่วง,"หมู,ไก่",160,,,,,,,
,ผัดเม็ดมะม่วง,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดเม็ดมะม่วง,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดเม็ดมะม่วง,กุ้งแม่น้ำ,250,,,,,,,
,ผัดพริกเผา,"หมู,ไก่",160,,,,,,,
,ผัดพริกเผา,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดพริกเผา,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดพริกเผา,กุ้งแม่น้ำ,250,,,,,,,
,ผัดพริกไทยดำ,"หมู,ไก่",160,,,,,,,
,ผัดพริกไทยดำ,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดพริกไทยดำ,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดพริกไทยดำ,กุ้งแม่น้ำ,250,,,,,,,
,ผัดผงกระหรี่,"หมู,ไก่",160,,,,,,,
,ผัดผงกระหรี่,"เนื้อตุ๋น,เนื้อ",170,,,,,,,
,ผัดผงกระหรี่,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดผงกระหรี่,เนื้อปู กุ้งแม่น้ำ,250,,,,,,,
,ผัดกะหล่ำปลีน้ำปลา,,119,,,,,,,
,ผัดกะหล่ำปลีน้ำปลา,"หมู,ไก่",160,,,,,,,
,ผัดกะหล่ำปลีน้ำปลา,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดกะหล่ำปลีน้ำปลา,"กุ้ง,ทะเล",190,,,,,,,
,ผัดพริกแกง,"หมู,ไก่",160,,,,,,,
,ผัดพริกแกง,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดพริกแกง,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,ผัดผักรวมมิตร,,119,,,,,,,
,ผัดผักรวมมิตร,"หมู,ไก่",160,,,,,,,
,ผัดผักรวมมิตร,"หมูกรอบ,เนื้อ",170,,,,,,,
,ผัดผักรวมมิตร,"กุ้ง,หมึก,ทะเล",190,,,,,,,
,คั่วกลิ้ง,"หมู, ไก่ ,ไก่บ้าน",150,,,,,,,
,คั่วกลิ้ง,"เนื้อ, เป็ดสับ",180,,,,,,,
,ไข่เจียว,,80,,,,,,,
,ไข่เจียว,"หมูสับ,ไก่",120,,,,,,,
,ไข่เจียว,"หมึก,กุ้ง",170,,,,,,,
,ไข่เจียว,ปู,200,,,,,,,
,ผัดบล็อคโคลี,"หมู,ไก่",160,,,,,,,
,ผัดบล็อคโคลี,"หมูกรอบ,เนื้อ",170,,,,,,,
